angle velocity force
-5.000 -5.000 -3.842
-5.000 -4.688 -3.810
-5.000 -4.375 -3.773
-5.000 -4.062 -3.733
-5.000 -3.750 -3.687
-5.000 -3.438 -3.635
-5.000 -3.125 -3.575
-5.000 -2.812 -3.507
-5.000 -2.500 -3.428
-5.000 -2.188 -3.337
-5.000 -1.875 -3.233
-5.000 -1.562 -3.116
-5.000 -1.250 -2.986
-5.000 -0.938 -2.846
-5.000 -0.625 -2.701
-5.000 -0.312 -2.556
-5.000 0.000 -2.420
-5.000 0.312 -2.295
-5.000 0.625 -2.188
-5.000 0.938 -2.096
-5.000 1.250 -2.021
-5.000 1.562 -1.960
-5.000 1.875 -1.911
-5.000 2.188 -1.873
-5.000 2.500 -1.842
-5.000 2.812 -1.816
-5.000 3.125 -1.796
-5.000 3.438 -1.779
-5.000 3.750 -1.765
-5.000 4.062 -1.753
-5.000 4.375 -1.742
-5.000 4.688 -1.734
-4.688 -5.000 -3.842
-4.688 -4.688 -3.810
-4.688 -4.375 -3.773
-4.688 -4.062 -3.733
-4.688 -3.750 -3.687
-4.688 -3.438 -3.635
-4.688 -3.125 -3.575
-4.688 -2.812 -3.507
-4.688 -2.500 -3.427
-4.688 -2.188 -3.337
-4.688 -1.875 -3.233
-4.688 -1.562 -3.115
-4.688 -1.250 -2.986
-4.688 -0.938 -2.845
-4.688 -0.625 -2.701
-4.688 -0.312 -2.556
-4.688 0.000 -2.420
-4.688 0.312 -2.295
-4.688 0.625 -2.188
-4.688 0.938 -2.096
-4.688 1.250 -2.021
-4.688 1.562 -1.960
-4.688 1.875 -1.911
-4.688 2.188 -1.873
-4.688 2.500 -1.842
-4.688 2.812 -1.816
-4.688 3.125 -1.796
-4.688 3.438 -1.779
-4.688 3.750 -1.765
-4.688 4.062 -1.753
-4.688 4.375 -1.742
-4.688 4.688 -1.734
-4.375 -5.000 -3.842
-4.375 -4.688 -3.809
-4.375 -4.375 -3.773
-4.375 -4.062 -3.732
-4.375 -3.750 -3.687
-4.375 -3.438 -3.634
-4.375 -3.125 -3.575
-4.375 -2.812 -3.507
-4.375 -2.500 -3.427
-4.375 -2.188 -3.337
-4.375 -1.875 -3.233
-4.375 -1.562 -3.115
-4.375 -1.250 -2.986
-4.375 -0.938 -2.845
-4.375 -0.625 -2.701
-4.375 -0.312 -2.556
-4.375 0.000 -2.420
-4.375 0.312 -2.295
-4.375 0.625 -2.187
-4.375 0.938 -2.096
-4.375 1.250 -2.021
-4.375 1.562 -1.960
-4.375 1.875 -1.911
-4.375 2.188 -1.873
-4.375 2.500 -1.841
-4.375 2.812 -1.816
-4.375 3.125 -1.796
-4.375 3.438 -1.779
-4.375 3.750 -1.765
-4.375 4.062 -1.753
-4.375 4.375 -1.742
-4.375 4.688 -1.734
-4.062 -5.000 -3.841
-4.062 -4.688 -3.809
-4.062 -4.375 -3.773
-4.062 -4.062 -3.732
-4.062 -3.750 -3.686
-4.062 -3.438 -3.634
-4.062 -3.125 -3.575
-4.062 -2.812 -3.506
-4.062 -2.500 -3.427
-4.062 -2.188 -3.337
-4.062 -1.875 -3.233
-4.062 -1.562 -3.115
-4.062 -1.250 -2.985
-4.062 -0.938 -2.845
-4.062 -0.625 -2.701
-4.062 -0.312 -2.556
-4.062 0.000 -2.420
-4.062 0.312 -2.295
-4.062 0.625 -2.187
-4.062 0.938 -2.096
-4.062 1.250 -2.021
-4.062 1.562 -1.960
-4.062 1.875 -1.911
-4.062 2.188 -1.872
-4.062 2.500 -1.841
-4.062 2.812 -1.816
-4.062 3.125 -1.796
-4.062 3.438 -1.779
-4.062 3.750 -1.765
-4.062 4.062 -1.753
-4.062 4.375 -1.742
-4.062 4.688 -1.733
-3.750 -5.000 -3.840
-3.750 -4.688 -3.808
-3.750 -4.375 -3.772
-3.750 -4.062 -3.731
-3.750 -3.750 -3.686
-3.750 -3.438 -3.633
-3.750 -3.125 -3.574
-3.750 -2.812 -3.506
-3.750 -2.500 -3.426
-3.750 -2.188 -3.336
-3.750 -1.875 -3.232
-3.750 -1.562 -3.114
-3.750 -1.250 -2.985
-3.750 -0.938 -2.845
-3.750 -0.625 -2.700
-3.750 -0.312 -2.555
-3.750 0.000 -2.419
-3.750 0.312 -2.295
-3.750 0.625 -2.187
-3.750 0.938 -2.095
-3.750 1.250 -2.020
-3.750 1.562 -1.960
-3.750 1.875 -1.911
-3.750 2.188 -1.872
-3.750 2.500 -1.841
-3.750 2.812 -1.816
-3.750 3.125 -1.795
-3.750 3.438 -1.778
-3.750 3.750 -1.764
-3.750 4.062 -1.752
-3.750 4.375 -1.742
-3.750 4.688 -1.733
-3.438 -5.000 -3.839
-3.438 -4.688 -3.807
-3.438 -4.375 -3.770
-3.438 -4.062 -3.730
-3.438 -3.750 -3.684
-3.438 -3.438 -3.632
-3.438 -3.125 -3.573
-3.438 -2.812 -3.504
-3.438 -2.500 -3.425
-3.438 -2.188 -3.335
-3.438 -1.875 -3.231
-3.438 -1.562 -3.113
-3.438 -1.250 -2.984
-3.438 -0.938 -2.844
-3.438 -0.625 -2.699
-3.438 -0.312 -2.555
-3.438 0.000 -2.418
-3.438 0.312 -2.294
-3.438 0.625 -2.186
-3.438 0.938 -2.095
-3.438 1.250 -2.020
-3.438 1.562 -1.959
-3.438 1.875 -1.910
-3.438 2.188 -1.872
-3.438 2.500 -1.840
-3.438 2.812 -1.815
-3.438 3.125 -1.795
-3.438 3.438 -1.778
-3.438 3.750 -1.764
-3.438 4.062 -1.752
-3.438 4.375 -1.741
-3.438 4.688 -1.733
-3.125 -5.000 -3.836
-3.125 -4.688 -3.804
-3.125 -4.375 -3.768
-3.125 -4.062 -3.727
-3.125 -3.750 -3.682
-3.125 -3.438 -3.630
-3.125 -3.125 -3.570
-3.125 -2.812 -3.502
-3.125 -2.500 -3.423
-3.125 -2.188 -3.333
-3.125 -1.875 -3.229
-3.125 -1.562 -3.111
-3.125 -1.250 -2.982
-3.125 -0.938 -2.842
-3.125 -0.625 -2.698
-3.125 -0.312 -2.553
-3.125 0.000 -2.417
-3.125 0.312 -2.292
-3.125 0.625 -2.185
-3.125 0.938 -2.093
-3.125 1.250 -2.019
-3.125 1.562 -1.958
-3.125 1.875 -1.909
-3.125 2.188 -1.870
-3.125 2.500 -1.839
-3.125 2.812 -1.814
-3.125 3.125 -1.794
-3.125 3.438 -1.777
-3.125 3.750 -1.763
-3.125 4.062 -1.751
-3.125 4.375 -1.740
-3.125 4.688 -1.732
-2.812 -5.000 -3.831
-2.812 -4.688 -3.799
-2.812 -4.375 -3.763
-2.812 -4.062 -3.722
-2.812 -3.750 -3.677
-2.812 -3.438 -3.625
-2.812 -3.125 -3.566
-2.812 -2.812 -3.498
-2.812 -2.500 -3.419
-2.812 -2.188 -3.328
-2.812 -1.875 -3.225
