service tip
0.000 5.076
0.010 5.077
0.020 5.079
0.029 5.081
0.039 5.083
0.049 5.084
0.059 5.086
0.068 5.088
0.078 5.090
0.088 5.092
0.098 5.094
0.107 5.096
0.117 5.098
0.127 5.100
0.137 5.102
0.146 5.104
0.156 5.106
0.166 5.109
0.176 5.111
0.186 5.113
0.195 5.116
0.205 5.118
0.215 5.120
0.225 5.123
0.234 5.125
0.244 5.128
0.254 5.131
0.264 5.133
0.273 5.136
0.283 5.139
0.293 5.142
0.303 5.145
0.312 5.148
0.322 5.151
0.332 5.154
0.342 5.157
0.352 5.160
0.361 5.163
0.371 5.166
0.381 5.170
0.391 5.173
0.400 5.177
0.410 5.180
0.420 5.184
0.430 5.187
0.439 5.191
0.449 5.195
0.459 5.199
0.469 5.203
0.479 5.207
0.488 5.211
0.498 5.215
0.508 5.219
0.518 5.223
0.527 5.228
0.537 5.232
0.547 5.236
0.557 5.241
0.566 5.246
0.576 5.250
0.586 5.255
0.596 5.260
0.605 5.265
0.615 5.270
0.625 5.275
0.635 5.281
0.645 5.286
0.654 5.291
0.664 5.297
0.674 5.303
0.684 5.308
0.693 5.314
0.703 5.320
0.713 5.326
0.723 5.332
0.732 5.338
0.742 5.345
0.752 5.351
0.762 5.358
0.771 5.364
0.781 5.371
0.791 5.378
0.801 5.385
0.811 5.392
0.820 5.399
0.830 5.406
0.840 5.414
0.850 5.422
0.859 5.429
0.869 5.437
0.879 5.445
0.889 5.453
0.898 5.462
0.908 5.470
0.918 5.478
0.928 5.487
0.938 5.496
0.947 5.504
0.957 5.513
0.967 5.522
0.977 5.531
0.986 5.541
0.996 5.550
1.006 5.560
1.016 5.569
1.025 5.579
1.035 5.590
1.045 5.600
1.055 5.610
1.064 5.621
1.074 5.632
1.084 5.643
1.094 5.654
1.104 5.665
1.113 5.677
1.123 5.688
1.133 5.700
1.143 5.712
1.152 5.725
1.162 5.737
1.172 5.749
1.182 5.762
1.191 5.776
1.201 5.789
1.211 5.802
1.221 5.816
1.230 5.830
1.240 5.844
1.250 5.858
1.260 5.873
1.270 5.888
1.279 5.903
1.289 5.918
1.299 5.934
1.309 5.950
1.318 5.966
1.328 5.982
1.338 5.998
1.348 6.015
1.357 6.032
1.367 6.050
1.377 6.067
1.387 6.085
1.396 6.102
1.406 6.120
1.416 6.139
1.426 6.157
1.436 6.176
1.445 6.195
1.455 6.214
1.465 6.234
1.475 6.253
1.484 6.274
1.494 6.294
1.504 6.315
1.514 6.336
1.523 6.357
1.533 6.379
1.543 6.401
1.553 6.423
1.562 6.446
1.572 6.469
1.582 6.492
1.592 6.516
1.602 6.540
1.611 6.564
1.621 6.588
1.631 6.613
1.641 6.638
1.650 6.664
1.660 6.690
1.670 6.716
1.680 6.742
1.689 6.769
1.699 6.795
1.709 6.822
1.719 6.850
1.729 6.878
1.738 6.906
1.748 6.934
1.758 6.963
1.768 6.992
1.777 7.021
1.787 7.051
1.797 7.082
1.807 7.113
1.816 7.144
1.826 7.175
1.836 7.207
1.846 7.238
1.855 7.271
1.865 7.304
1.875 7.337
1.885 7.371
1.895 7.404
1.904 7.437
1.914 7.471
1.924 7.505
1.934 7.540
1.943 7.575
1.953 7.611
1.963 7.647
1.973 7.683
1.982 7.719
1.992 7.756
2.002 7.793
2.012 7.831
2.021 7.869
2.031 7.907
2.041 7.946
2.051 7.985
2.061 8.024
2.070 8.063
2.080 8.102
2.090 8.141
2.100 8.181
2.109 8.221
2.119 8.262
2.129 8.303
2.139 8.344
2.148 8.386
2.158 8.428
2.168 8.470
2.178 8.512
2.188 8.554
2.197 8.598
2.207 8.640
2.217 8.683
2.227 8.726
2.236 8.770
2.246 8.813
2.256 8.857
2.266 8.901
2.275 8.945
2.285 8.989
2.295 9.035
2.305 9.080
2.314 9.125
2.324 9.171
2.334 9.216
2.344 9.261
2.354 9.306
2.363 9.351
2.373 9.397
2.383 9.443
2.393 9.489
2.402 9.535
2.412 9.582
2.422 9.628
2.432 9.675
2.441 9.722
2.451 9.768
2.461 9.814
2.471 9.860
2.480 9.905
2.490 9.952
2.500 9.999
2.510 10.046
2.520 10.092
2.529 10.139
2.539 10.186
2.549 10.233
2.559 10.279
2.568 10.325
2.578 10.371
2.588 10.416
2.598 10.462
2.607 10.509
2.617 10.555
2.627 10.601
2.637 10.647
2.646 10.693
2.656 10.739
2.666 10.784
2.676 10.829
2.686 10.874
2.695 10.919
2.705 10.963
2.715 11.008
2.725 11.053
2.734 11.097
2.744 11.142
2.754 11.186
2.764 11.230
2.773 11.273
2.783 11.316
2.793 11.359
2.803 11.402
2.812 11.445
2.822 11.487
2.832 11.530
2.842 11.572
2.852 11.613
2.861 11.654
2.871 11.696
2.881 11.737
2.891 11.777
2.900 11.818
2.910 11.858
2.920 11.899
2.930 11.938
2.939 11.977
2.949 12.016
2.959 12.054
2.969 12.092
2.979 12.130
2.988 12.168
2.998 12.205
3.008 12.243
3.018 12.280
3.027 12.316
3.037 12.352
3.047 12.388
3.057 12.424
3.066 12.459
3.076 12.494
3.086 12.529
3.096 12.564
3.105 12.597
3.115 12.631
3.125 12.664
3.135 12.696
3.145 12.729
3.154 12.761
3.164 12.793
3.174 12.824
3.184 12.855
3.193 12.886
3.203 12.917
3.213 12.947
3.223 12.977
3.232 13.007
3.242 13.037
3.252 13.066
3.262 13.094
3.271 13.123
3.281 13.151
3.291 13.178
3.301 13.206
3.311 13.233
3.320 13.260
3.330 13.286
3.340 13.312
3.350 13.337
3.359 13.362
3.369 13.387
3.379 13.412
3.389 13.436
3.398 13.460
3.408 13.484
3.418 13.507
3.428 13.530
3.438 13.554
3.447 13.576
3.457 13.599
3.467 13.621
3.477 13.643
3.486 13.664
3.496 13.685
3.506 13.706
3.516 13.727
3.525 13.747
3.535 13.768
3.545 13.788
3.555 13.807
3.564 13.826
3.574 13.845
3.584 13.864
3.594 13.882
3.604 13.901
3.613 13.919
3.623 13.936
3.633 13.953
3.643 13.971
3.652 13.987
3.662 14.004
3.672 14.020
3.682 14.036
3.691 14.052
3.701 14.068
3.711 14.083
3.721 14.098
3.730 14.113
3.740 14.128
3.750 14.143
3.760 14.157
3.770 14.172
3.779 14.186
3.789 14.200
3.799 14.213
3.809 14.227
3.818 14.240
3.828 14.253
3.838 14.266
3.848 14.279
3.857 14.291
3.867 14.303
3.877 14.315
3.887 14.327
3.896 14.339
3.906 14.351
3.916 14.362
3.926 14.373
3.936 14.384
3.945 14.395
3.955 14.406
3.965 14.416
3.975 14.427
3.984 14.437
3.994 14.447
4.004 14.457
4.014 14.467
4.023 14.476
4.033 14.486
4.043 14.495
4.053 14.504
4.062 14.513
4.072 14.522
4.082 14.531
4.092 14.540
4.102 14.548
4.111 14.556
4.121 14.565
4.131 14.573
4.141 14.581
4.150 14.588
4.160 14.596
4.170 14.604
4.180 14.611
4.189 14.619
4.199 14.626
4.209 14.633
4.219 14.640
4.229 14.647
4.238 14.654
4.248 14.661
4.258 14.667
4.268 14.674
4.277 14.680
4.287 14.687
4.297 14.693
4.307 14.699
4.316 14.705
4.326 14.711
4.336 14.717
4.346 14.723
4.355 14.729
4.365 14.734
4.375 14.740
4.385 14.746
4.395 14.751
4.404 14.757
4.414 14.762
4.424 14.767
4.434 14.773
4.443 14.778
4.453 14.783
4.463 14.788
4.473 14.793
4.482 14.798
4.492 14.803
4.502 14.807
4.512 14.812
4.521 14.817
4.531 14.821
4.541 14.826
4.551 14.831
4.561 14.835
4.570 14.839
4.580 14.844
4.590 14.848
4.600 14.852
4.609 14.856
4.619 14.861
4.629 14.865
4.639 14.869
4.648 14.873
4.658 14.877
4.668 14.881
4.678 14.885
4.688 14.888
4.697 14.892
4.707 14.896
4.717 14.900
4.727 14.904
4.736 14.907
4.746 14.911
4.756 14.915
4.766 14.918
4.775 14.922
4.785 14.925
4.795 14.929
4.805 14.932
4.814 14.936
4.824 14.939
4.834 14.943
4.844 14.946
4.854 14.950
4.863 14.953
4.873 14.957
4.883 14.960
4.893 14.963
4.902 14.967
4.912 14.970
4.922 14.973
4.932 14.977
4.941 14.980
4.951 14.983
4.961 14.987
4.971 14.990
4.980 14.993
4.990 14.997
5.000 15.000
5.010 15.003
5.020 15.007
5.029 15.010
5.039 15.013
5.049 15.017
5.059 15.020
5.068 15.023
5.078 15.027
5.088 15.030
5.098 15.033
5.107 15.037
5.117 15.040
5.127 15.043
5.137 15.047
5.146 15.050
5.156 15.054
5.166 15.057
5.176 15.061
5.186 15.064
5.195 15.068
5.205 15.071
5.215 15.075
5.225 15.078
5.234 15.082
5.244 15.085
5.254 15.089
5.264 15.093
5.273 15.096
5.283 15.100
5.293 15.104
5.303 15.108
5.312 15.112
5.322 15.115
5.332 15.119
5.342 15.123
5.352 15.127
5.361 15.131
5.371 15.135
5.381 15.139
5.391 15.144
5.400 15.148
5.410 15.152
5.420 15.156
5.430 15.161
5.439 15.165
5.449 15.169
5.459 15.174
5.469 15.179
5.479 15.183
5.488 15.188
5.498 15.193
5.508 15.197
5.518 15.202
5.527 15.207
5.537 15.212
5.547 15.217
5.557 15.222
5.566 15.227
5.576 15.233
5.586 15.238
5.596 15.243
5.605 15.249
5.615 15.254
5.625 15.260
5.635 15.266
5.645 15.271
5.654 15.277
5.664 15.283
5.674 15.289
5.684 15.295
5.693 15.301
5.703 15.307
5.713 15.313
5.723 15.320
5.732 15.326
5.742 15.333
5.752 15.339
5.762 15.346
5.771 15.353
5.781 15.360
5.791 15.367
5.801 15.374
5.811 15.381
5.820 15.389
5.830 15.396
5.840 15.404
5.850 15.412
5.859 15.419
5.869 15.427
5.879 15.435
5.889 15.444
5.898 15.452
5.908 15.460
5.918 15.469
5.928 15.478
5.938 15.487
5.947 15.496
5.957 15.505
5.967 15.514
5.977 15.524
5.986 15.533
5.996 15.543
6.006 15.553
6.016 15.563
6.025 15.573
6.035 15.584
6.045 15.594
6.055 15.605
6.064 15.616
6.074 15.627
6.084 15.638
6.094 15.649
6.104 15.661
6.113 15.673
6.123 15.685
6.133 15.697
6.143 15.709
6.152 15.721
6.162 15.734
6.172 15.747
6.182 15.760
6.191 15.773
6.201 15.787
6.211 15.800
6.221 15.814
6.230 15.828
6.240 15.843
6.250 15.857
6.260 15.872
6.270 15.887
6.279 15.902
6.289 15.917
6.299 15.932
6.309 15.948
6.318 15.964
6.328 15.980
6.338 15.996
6.348 16.013
6.357 16.029
6.367 16.047
6.377 16.064
6.387 16.081
6.396 16.099
6.406 16.118
6.416 16.136
6.426 16.155
6.436 16.174
6.445 16.193
6.455 16.212
6.465 16.232
6.475 16.253
6.484 16.273
6.494 16.294
6.504 16.315
6.514 16.336
6.523 16.357
6.533 16.379
6.543 16.401
6.553 16.424
6.562 16.446
6.572 16.470
6.582 16.493
6.592 16.516
6.602 16.540
6.611 16.564
6.621 16.588
6.631 16.613
6.641 16.638
6.650 16.663
6.660 16.688
6.670 16.714
6.680 16.740
6.689 16.767
6.699 16.794
6.709 16.822
6.719 16.849
6.729 16.877
6.738 16.906
6.748 16.934
6.758 16.963
6.768 16.993
6.777 17.023
6.787 17.053
6.797 17.083
6.807 17.114
6.816 17.145
6.826 17.176
6.836 17.207
6.846 17.239
6.855 17.271
6.865 17.304
6.875 17.336
6.885 17.369
6.895 17.403
6.904 17.436
6.914 17.471
6.924 17.506
6.934 17.541
6.943 17.576
6.953 17.612
6.963 17.648
6.973 17.684
6.982 17.720
6.992 17.757
7.002 17.795
7.012 17.832
7.021 17.870
7.031 17.908
7.041 17.946
7.051 17.984
7.061 18.023
7.070 18.062
7.080 18.101
7.090 18.142
7.100 18.182
7.109 18.223
7.119 18.263
7.129 18.304
7.139 18.346
7.148 18.387
7.158 18.428
7.168 18.470
7.178 18.513
7.188 18.555
7.197 18.598
7.207 18.641
7.217 18.684
7.227 18.727
7.236 18.770
7.246 18.814
7.256 18.858
7.266 18.903
7.275 18.947
7.285 18.992
7.295 19.037
7.305 19.081
7.314 19.126
7.324 19.171
7.334 19.216
7.344 19.261
7.354 19.307
7.363 19.353
7.373 19.399
7.383 19.445
7.393 19.491
7.402 19.538
7.412 19.584
7.422 19.629
7.432 19.675
7.441 19.721
7.451 19.767
7.461 19.814
7.471 19.861
7.480 19.908
7.490 19.954
7.500 20.001
7.510 20.048
7.520 20.095
7.529 20.140
7.539 20.186
7.549 20.232
7.559 20.278
7.568 20.325
7.578 20.372
7.588 20.418
7.598 20.465
7.607 20.511
7.617 20.557
7.627 20.603
7.637 20.649
7.646 20.694
7.656 20.739
7.666 20.784
7.676 20.829
7.686 20.875
7.695 20.920
7.705 20.965
7.715 21.011
7.725 21.055
7.734 21.099
7.744 21.143
7.754 21.187
7.764 21.230
7.773 21.274
7.783 21.317
7.793 21.360
7.803 21.402
7.812 21.446
7.822 21.488
7.832 21.530
7.842 21.572
7.852 21.614
7.861 21.656
7.871 21.697
7.881 21.738
