Age RiskTolerance PercentageInStocks
20.000 0.000 50.000
20.000 0.312 50.000
20.000 0.625 50.000
20.000 0.938 50.000
20.000 1.250 50.000
20.000 1.562 50.000
20.000 1.875 50.000
20.000 2.188 50.040
20.000 2.500 50.289
20.000 2.812 50.768
20.000 3.125 51.489
20.000 3.438 52.463
20.000 3.750 53.700
20.000 4.062 55.203
20.000 4.375 56.958
20.000 4.688 58.920
20.000 5.000 60.994
20.000 5.312 62.984
20.000 5.625 64.817
20.000 5.938 66.518
20.000 6.250 68.084
20.000 6.562 69.494
20.000 6.875 70.710
20.000 7.188 71.688
20.000 7.500 72.383
20.000 7.812 72.759
20.000 8.125 72.821
20.000 8.438 72.821
20.000 8.750 72.821
20.000 9.062 72.821
20.000 9.375 72.821
20.000 9.688 72.821
22.500 0.000 50.000
22.500 0.312 50.000
22.500 0.625 50.000
22.500 0.938 50.000
22.500 1.250 50.000
22.500 1.562 50.000
22.500 1.875 50.000
22.500 2.188 50.040
22.500 2.500 50.289
22.500 2.812 50.768
22.500 3.125 51.489
22.500 3.438 52.463
22.500 3.750 53.700
22.500 4.062 55.203
22.500 4.375 56.958
22.500 4.688 58.920
22.500 5.000 60.994
22.500 5.312 62.984
22.500 5.625 64.817
22.500 5.938 66.518
22.500 6.250 68.084
22.500 6.562 69.494
22.500 6.875 70.710
22.500 7.188 71.688
22.500 7.500 72.383
22.500 7.812 72.759
22.500 8.125 72.821
22.500 8.438 72.821
22.500 8.750 72.821
22.500 9.062 72.821
22.500 9.375 72.821
22.500 9.688 72.821
25.000 0.000 50.000
25.000 0.312 50.000
25.000 0.625 50.000
25.000 0.938 50.000
25.000 1.250 50.000
25.000 1.562 50.000
25.000 1.875 50.000
25.000 2.188 50.040
25.000 2.500 50.289
25.000 2.812 50.768
25.000 3.125 51.489
25.000 3.438 52.463
25.000 3.750 53.700
25.000 4.062 55.203
25.000 4.375 56.958
25.000 4.688 58.920
25.000 5.000 60.994
25.000 5.312 62.984
25.000 5.625 64.817
25.000 5.938 66.518
25.000 6.250 68.084
25.000 6.562 69.494
25.000 6.875 70.710
25.000 7.188 71.688
25.000 7.500 72.383
25.000 7.812 72.759
25.000 8.125 72.821
25.000 8.438 72.821
25.000 8.750 72.821
25.000 9.062 72.821
25.000 9.375 72.821
25.000 9.688 72.821
27.500 0.000 50.000
27.500 0.312 50.000
27.500 0.625 50.000
27.500 0.938 50.000
27.500 1.250 50.000
27.500 1.562 50.000
27.500 1.875 50.000
27.500 2.188 50.040
27.500 2.500 50.289
27.500 2.812 50.768
27.500 3.125 51.489
27.500 3.438 52.463
27.500 3.750 53.700
27.500 4.062 55.203
27.500 4.375 56.958
27.500 4.688 58.920
27.500 5.000 60.994
27.500 5.312 62.984
27.500 5.625 64.817
27.500 5.938 66.518
27.500 6.250 68.084
27.500 6.562 69.494
27.500 6.875 70.710
27.500 7.188 71.688
27.500 7.500 72.383
27.500 7.812 72.759
27.500 8.125 72.821
27.500 8.438 72.821
27.500 8.750 72.821
27.500 9.062 72.821
27.500 9.375 72.821
27.500 9.688 72.821
30.000 0.000 50.000
30.000 0.312 50.000
30.000 0.625 50.000
30.000 0.938 50.000
30.000 1.250 50.000
30.000 1.562 50.000
30.000 1.875 50.000
30.000 2.188 50.040
30.000 2.500 50.289
30.000 2.812 50.768
30.000 3.125 51.489
30.000 3.438 52.463
30.000 3.750 53.700
30.000 4.062 55.203
30.000 4.375 56.958
30.000 4.688 58.920
30.000 5.000 60.994
30.000 5.312 62.984
30.000 5.625 64.817
30.000 5.938 66.518
30.000 6.250 68.084
30.000 6.562 69.494
30.000 6.875 70.710
30.000 7.188 71.688
30.000 7.500 72.383
30.000 7.812 72.759
30.000 8.125 72.821
30.000 8.438 72.821
30.000 8.750 72.821
30.000 9.062 72.821
30.000 9.375 72.821
30.000 9.688 72.821
32.500 0.000 49.928
32.500 0.312 49.928
32.500 0.625 49.928
32.500 0.938 49.928
32.500 1.250 49.928
32.500 1.562 49.928
32.500 1.875 49.928
32.500 2.188 49.969
32.500 2.500 50.217
32.500 2.812 50.696
32.500 3.125 51.417
32.500 3.438 52.389
32.500 3.750 53.625
32.500 4.062 55.126
32.500 4.375 56.878
32.500 4.688 58.837
32.500 5.000 60.907
32.500 5.312 62.894
32.500 5.625 64.724
32.500 5.938 66.421
32.500 6.250 67.984
32.500 6.562 69.391
32.500 6.875 70.605
32.500 7.188 71.581
32.500 7.500 72.274
32.500 7.812 72.649
32.500 8.125 72.711
32.500 8.438 72.711
32.500 8.750 72.711
32.500 9.062 72.711
32.500 9.375 72.711
32.500 9.688 72.711
35.000 0.000 49.711
35.000 0.312 49.711
35.000 0.625 49.711
35.000 0.938 49.711
