FoodQuality Service Tip CheckPlusTip
1.000 1.000 10.000 1.100
1.000 1.281 10.000 1.100
1.000 1.562 10.000 1.100
1.000 1.844 10.000 1.100
1.000 2.125 10.000 1.100
1.000 2.406 10.000 1.100
1.000 2.688 10.000 1.100
1.000 2.969 10.000 1.100
1.000 3.250 10.582 1.106
1.000 3.531 11.024 1.110
1.000 3.812 11.377 1.114
1.000 4.094 11.680 1.117
1.000 4.375 11.951 1.120
1.000 4.656 12.203 1.122
1.000 4.938 12.446 1.124
1.000 5.219 12.688 1.127
1.000 5.500 12.935 1.129
1.000 5.781 13.197 1.132
1.000 6.062 13.484 1.135
1.000 6.344 13.810 1.138
1.000 6.625 14.206 1.142
1.000 6.906 14.739 1.147
1.000 7.188 15.000 1.150
1.000 7.469 15.000 1.150
1.000 7.750 15.000 1.150
1.000 8.031 15.000 1.150
1.000 8.312 15.000 1.150
1.000 8.594 15.000 1.150
1.000 8.875 15.000 1.150
1.000 9.156 15.000 1.150
1.000 9.438 15.000 1.150
1.000 9.719 15.000 1.150
1.281 1.000 10.000 1.100
1.281 1.281 10.000 1.100
1.281 1.562 10.000 1.100
1.281 1.844 10.000 1.100
1.281 2.125 10.000 1.100
1.281 2.406 10.000 1.100
1.281 2.688 10.000 1.100
1.281 2.969 10.000 1.100
1.281 3.250 10.582 1.106
1.281 3.531 11.024 1.110
1.281 3.812 11.377 1.114
1.281 4.094 11.680 1.117
1.281 4.375 11.951 1.120
1.281 4.656 12.203 1.122
1.281 4.938 12.446 1.124
1.281 5.219 12.688 1.127
1.281 5.500 12.935 1.129
1.281 5.781 13.197 1.132
1.281 6.062 13.484 1.135
1.281 6.344 13.810 1.138
1.281 6.625 14.206 1.142
1.281 6.906 14.739 1.147
1.281 7.188 15.000 1.150
1.281 7.469 15.000 1.150
1.281 7.750 15.000 1.150
1.281 8.031 15.000 1.150
1.281 8.312 15.000 1.150
1.281 8.594 15.000 1.150
1.281 8.875 15.000 1.150
1.281 9.156 15.000 1.150
1.281 9.438 15.000 1.150
1.281 9.719 15.000 1.150
1.562 1.000 10.000 1.100
1.562 1.281 10.000 1.100
1.562 1.562 10.000 1.100
1.562 1.844 10.000 1.100
1.562 2.125 10.000 1.100
1.562 2.406 10.000 1.100
1.562 2.688 10.000 1.100
1.562 2.969 10.000 1.100
1.562 3.250 10.582 1.106
1.562 3.531 11.024 1.110
1.562 3.812 11.377 1.114
1.562 4.094 11.680 1.117
1.562 4.375 11.951 1.120
1.562 4.656 12.203 1.122
1.562 4.938 12.446 1.124
1.562 5.219 12.688 1.127
1.562 5.500 12.935 1.129
1.562 5.781 13.197 1.132
1.562 6.062 13.484 1.135
1.562 6.344 13.810 1.138
1.562 6.625 14.206 1.142
1.562 6.906 14.739 1.147
1.562 7.188 15.000 1.150
1.562 7.469 15.000 1.150
1.562 7.750 15.000 1.150
1.562 8.031 15.000 1.150
1.562 8.312 15.000 1.150
1.562 8.594 15.000 1.150
1.562 8.875 15.000 1.150
1.562 9.156 15.000 1.150
1.562 9.438 15.000 1.150
1.562 9.719 15.000 1.150
1.844 1.000 10.000 1.100
1.844 1.281 10.000 1.100
1.844 1.562 10.000 1.100
1.844 1.844 10.000 1.100
1.844 2.125 10.000 1.100
1.844 2.406 10.000 1.100
1.844 2.688 10.000 1.100
1.844 2.969 10.000 1.100
1.844 3.250 10.582 1.106
1.844 3.531 11.024 1.110
1.844 3.812 11.377 1.114
1.844 4.094 11.680 1.117
1.844 4.375 11.951 1.120
1.844 4.656 12.203 1.122
1.844 4.938 12.446 1.124
1.844 5.219 12.688 1.127
1.844 5.500 12.935 1.129
1.844 5.781 13.197 1.132
1.844 6.062 13.484 1.135
1.844 6.344 13.810 1.138
1.844 6.625 14.206 1.142
1.844 6.906 14.739 1.147
1.844 7.188 15.000 1.150
1.844 7.469 15.000 1.150
1.844 7.750 15.000 1.150
1.844 8.031 15.000 1.150
1.844 8.312 15.000 1.150
1.844 8.594 15.000 1.150
1.844 8.875 15.000 1.150
1.844 9.156 15.000 1.150
1.844 9.438 15.000 1.150
1.844 9.719 15.000 1.150
2.125 1.000 10.000 1.100
2.125 1.281 10.000 1.100
2.125 1.562 10.000 1.100
2.125 1.844 10.000 1.100
2.125 2.125 10.000 1.100
2.125 2.406 10.000 1.100
2.125 2.688 10.000 1.100
2.125 2.969 10.000 1.100
2.125 3.250 10.582 1.106
2.125 3.531 11.024 1.110
2.125 3.812 11.377 1.114
2.125 4.094 11.680 1.117
2.125 4.375 11.951 1.120
2.125 4.656 12.203 1.122
2.125 4.938 12.446 1.124
2.125 5.219 12.688 1.127
2.125 5.500 12.935 1.129
2.125 5.781 13.197 1.132
2.125 6.062 13.484 1.135
2.125 6.344 13.810 1.138
2.125 6.625 14.206 1.142
2.125 6.906 14.739 1.147
2.125 7.188 15.000 1.150
2.125 7.469 15.000 1.150
2.125 7.750 15.000 1.150
2.125 8.031 15.000 1.150
2.125 8.312 15.000 1.150
2.125 8.594 15.000 1.150
2.125 8.875 15.000 1.150
2.125 9.156 15.000 1.150
2.125 9.438 15.000 1.150
2.125 9.719 15.000 1.150
2.406 1.000 10.000 1.100
2.406 1.281 10.000 1.100
2.406 1.562 10.000 1.100
2.406 1.844 10.000 1.100
2.406 2.125 10.000 1.100
2.406 2.406 10.000 1.100
2.406 2.688 10.000 1.100
2.406 2.969 10.000 1.100
2.406 3.250 10.582 1.106
2.406 3.531 11.024 1.110
2.406 3.812 11.377 1.114
2.406 4.094 11.680 1.117
2.406 4.375 11.951 1.120
2.406 4.656 12.203 1.122
2.406 4.938 12.446 1.124
2.406 5.219 12.688 1.127
2.406 5.500 12.935 1.129
2.406 5.781 13.197 1.132
2.406 6.062 13.484 1.135
2.406 6.344 13.810 1.138
2.406 6.625 14.206 1.142
2.406 6.906 14.739 1.147
2.406 7.188 15.000 1.150
2.406 7.469 15.000 1.150
2.406 7.750 15.000 1.150
2.406 8.031 15.000 1.150
2.406 8.312 15.000 1.150
2.406 8.594 15.000 1.150
2.406 8.875 15.000 1.150
2.406 9.156 15.000 1.150
2.406 9.438 15.000 1.150
2.406 9.719 15.000 1.150
2.688 1.000 10.000 1.100
2.688 1.281 10.000 1.100
2.688 1.562 10.000 1.100
2.688 1.844 10.000 1.100
2.688 2.125 10.000 1.100
2.688 2.406 10.000 1.100
2.688 2.688 10.000 1.100
2.688 2.969 10.000 1.100
2.688 3.250 10.582 1.106
2.688 3.531 11.024 1.110
2.688 3.812 11.377 1.114
2.688 4.094 11.680 1.117
2.688 4.375 11.951 1.120
2.688 4.656 12.203 1.122
2.688 4.938 12.446 1.124
2.688 5.219 12.688 1.127
2.688 5.500 12.935 1.129
2.688 5.781 13.197 1.132
2.688 6.062 13.484 1.135
2.688 6.344 13.810 1.138
2.688 6.625 14.206 1.142
2.688 6.906 14.739 1.147
2.688 7.188 15.000 1.150
2.688 7.469 15.000 1.150
2.688 7.750 15.000 1.150
2.688 8.031 15.000 1.150
2.688 8.312 15.000 1.150
2.688 8.594 15.000 1.150
2.688 8.875 15.000 1.150
2.688 9.156 15.000 1.150
2.688 9.438 15.000 1.150
2.688 9.719 15.000 1.150
2.969 1.000 10.000 1.100
2.969 1.281 10.000 1.100
2.969 1.562 10.000 1.100
2.969 1.844 10.000 1.100
2.969 2.125 10.000 1.100
2.969 2.406 10.000 1.100
2.969 2.688 10.000 1.100
2.969 2.969 10.000 1.100
2.969 3.250 10.582 1.106
2.969 3.531 11.024 1.110
2.969 3.812 11.377 1.114
2.969 4.094 11.680 1.117
2.969 4.375 11.951 1.120
2.969 4.656 12.203 1.122
2.969 4.938 12.446 1.124
2.969 5.219 12.688 1.127
2.969 5.500 12.935 1.129
2.969 5.781 13.197 1.132
2.969 6.062 13.484 1.135
2.969 6.344 13.810 1.138
2.969 6.625 14.206 1.142
2.969 6.906 14.739 1.147
2.969 7.188 15.000 1.150
2.969 7.469 15.000 1.150
2.969 7.750 15.000 1.150
2.969 8.031 15.000 1.150
2.969 8.312 15.000 1.150
2.969 8.594 15.000 1.150
2.969 8.875 15.000 1.150
2.969 9.156 15.000 1.150
2.969 9.438 15.000 1.150
2.969 9.719 15.000 1.150
3.250 1.000 10.582 1.106
3.250 1.281 10.582 1.106
