inputX outputFx trueFx diffFx
0.000 nan nan nan
0.010 0.840 1.000 0.160
0.020 0.840 1.000 0.160
0.029 0.840 1.000 0.160
0.039 0.840 1.000 0.160
0.049 0.840 1.000 0.160
0.059 0.840 0.999 0.159
0.068 0.840 0.999 0.159
0.078 0.840 0.999 0.159
0.088 0.840 0.999 0.159
0.098 0.840 0.998 0.158
0.107 0.840 0.998 0.158
0.117 0.840 0.998 0.158
0.127 0.840 0.997 0.157
0.137 0.840 0.997 0.157
0.146 0.840 0.996 0.156
0.156 0.840 0.996 0.156
0.166 0.840 0.995 0.155
0.176 0.840 0.995 0.155
0.186 0.840 0.994 0.154
0.195 0.840 0.994 0.154
0.205 0.840 0.993 0.153
0.215 0.840 0.992 0.152
0.225 0.840 0.992 0.152
0.234 0.840 0.991 0.151
0.244 0.840 0.990 0.150
0.254 0.840 0.989 0.149
0.264 0.840 0.988 0.148
0.273 0.840 0.988 0.148
0.283 0.840 0.987 0.147
0.293 0.840 0.986 0.146
0.303 0.840 0.985 0.145
0.312 0.840 0.984 0.144
0.322 0.840 0.983 0.143
0.332 0.840 0.982 0.142
0.342 0.840 0.981 0.141
0.352 0.840 0.980 0.140
0.361 0.840 0.978 0.138
0.371 0.840 0.977 0.137
0.381 0.840 0.976 0.136
0.391 0.840 0.975 0.135
0.400 0.840 0.973 0.133
0.410 0.840 0.972 0.132
0.420 0.840 0.971 0.131
0.430 0.840 0.970 0.130
0.439 0.840 0.968 0.128
0.449 0.840 0.967 0.127
0.459 0.840 0.965 0.125
0.469 0.840 0.964 0.124
0.479 0.840 0.962 0.122
0.488 0.840 0.961 0.121
0.498 0.840 0.959 0.119
0.508 0.840 0.958 0.118
0.518 0.840 0.956 0.116
0.527 0.840 0.954 0.114
0.537 0.840 0.953 0.113
0.547 0.840 0.951 0.111
0.557 0.840 0.949 0.109
0.566 0.840 0.947 0.107
0.576 0.840 0.946 0.106
0.586 0.840 0.944 0.104
0.596 0.840 0.942 0.102
0.605 0.840 0.940 0.100
0.615 0.840 0.938 0.098
0.625 0.840 0.936 0.096
0.635 0.840 0.934 0.094
0.645 0.840 0.932 0.092
0.654 0.840 0.930 0.090
0.664 0.840 0.928 0.088
0.674 0.840 0.926 0.086
0.684 0.840 0.924 0.084
0.693 0.840 0.922 0.082
0.703 0.840 0.920 0.080
0.713 0.840 0.917 0.077
