input1 input2 output
-6.287 0.000 3.297
-6.287 0.530 4.753
-6.287 1.061 6.026
-6.287 1.591 6.744
-6.287 2.122 6.366
-6.287 2.652 5.011
-6.287 3.182 3.461
-6.287 3.713 2.494
-6.287 4.243 2.095
-6.287 4.773 1.895
-6.287 5.304 1.772
-6.287 5.834 1.687
-6.287 6.365 1.624
-6.287 6.895 1.583
-6.287 7.425 1.556
-6.287 7.956 1.535
-6.287 8.486 1.517
-6.287 9.016 1.506
-6.287 9.547 1.501
-6.287 10.077 1.502
-6.287 10.608 1.506
-6.287 11.138 1.512
-6.287 11.668 1.521
-6.287 12.199 1.535
-6.287 12.729 1.553
-6.287 13.259 1.575
-6.287 13.790 1.604
-6.287 14.320 1.643
-6.287 14.851 1.706
-6.287 15.381 1.824
-6.287 15.911 2.135
-6.287 16.442 3.174
-5.559 0.000 -0.870
-5.559 0.530 0.956
-5.559 1.061 2.715
-5.559 1.591 4.096
-5.559 2.122 4.474
-5.559 2.652 3.750
-5.559 3.182 2.717
-5.559 3.713 2.114
-5.559 4.243 1.868
-5.559 4.773 1.736
-5.559 5.304 1.649
-5.559 5.834 1.585
-5.559 6.365 1.534
-5.559 6.895 1.499
-5.559 7.425 1.476
-5.559 7.956 1.458
-5.559 8.486 1.443
-5.559 9.016 1.433
-5.559 9.547 1.428
-5.559 10.077 1.429
-5.559 10.608 1.433
-5.559 11.138 1.439
-5.559 11.668 1.450
-5.559 12.199 1.465
-5.559 12.729 1.485
-5.559 13.259 1.509
-5.559 13.790 1.538
-5.559 14.320 1.575
-5.559 14.851 1.631
-5.559 15.381 1.730
-5.559 15.911 1.983
-5.559 16.442 2.819
-4.832 0.000 -9.264
-4.832 0.530 -6.496
-4.832 1.061 -3.507
-4.832 1.591 -0.463
-4.832 2.122 1.762
-4.832 2.652 2.394
-4.832 3.182 2.075
-4.832 3.713 1.799
-4.832 4.243 1.677
-4.832 4.773 1.599
-4.832 5.304 1.539
-4.832 5.834 1.490
-4.832 6.365 1.447
-4.832 6.895 1.417
-4.832 7.425 1.397
-4.832 7.956 1.381
-4.832 8.486 1.368
-4.832 9.016 1.359
-4.832 9.547 1.353
-4.832 10.077 1.354
-4.832 10.608 1.358
-4.832 11.138 1.366
-4.832 11.668 1.378
-4.832 12.199 1.395
-4.832 12.729 1.416
-4.832 13.259 1.442
-4.832 13.790 1.470
-4.832 14.320 1.506
-4.832 14.851 1.554
-4.832 15.381 1.633
-4.832 15.911 1.819
-4.832 16.442 2.416
-4.104 0.000 -22.420
-4.104 0.530 -17.876
-4.104 1.061 -12.667
-4.104 1.591 -6.759
-4.104 2.122 -1.490
-4.104 2.652 1.228
-4.104 3.182 1.738
-4.104 3.713 1.648
-4.104 4.243 1.571
-4.104 4.773 1.509
-4.104 5.304 1.455
-4.104 5.834 1.409
-4.104 6.365 1.369
-4.104 6.895 1.338
-4.104 7.425 1.317
-4.104 7.956 1.301
-4.104 8.486 1.289
-4.104 9.016 1.281
-4.104 9.547 1.277
-4.104 10.077 1.278
-4.104 10.608 1.283
-4.104 11.138 1.293
-4.104 11.668 1.306
-4.104 12.199 1.323
-4.104 12.729 1.345
-4.104 13.259 1.370
-4.104 13.790 1.401
-4.104 14.320 1.436
-4.104 14.851 1.479
-4.104 15.381 1.539
-4.104 15.911 1.655
-4.104 16.442 1.987
-3.376 0.000 -27.615
-3.376 0.530 -21.947
-3.376 1.061 -15.567
-3.376 1.591 -8.493
-3.376 2.122 -2.286
-3.376 2.652 0.963
-3.376 3.182 1.675
-3.376 3.713 1.599
-3.376 4.243 1.506
-3.376 4.773 1.433
-3.376 5.304 1.373
-3.376 5.834 1.325
-3.376 6.365 1.285
-3.376 6.895 1.254
-3.376 7.425 1.232
-3.376 7.956 1.218
-3.376 8.486 1.207
-3.376 9.016 1.201
-3.376 9.547 1.199
-3.376 10.077 1.202
-3.376 10.608 1.209
-3.376 11.138 1.221
-3.376 11.668 1.236
-3.376 12.199 1.254
-3.376 12.729 1.276
-3.376 13.259 1.302
-3.376 13.790 1.334
-3.376 14.320 1.370
-3.376 14.851 1.413
-3.376 15.381 1.463
-3.376 15.911 1.540
-3.376 16.442 1.711
-2.648 0.000 -22.605
-2.648 0.530 -17.020
-2.648 1.061 -11.113
-2.648 1.591 -5.187
-2.648 2.122 -0.649
-2.648 2.652 1.332
-2.648 3.182 1.643
-2.648 3.713 1.528
-2.648 4.243 1.418
-2.648 4.773 1.337
-2.648 5.304 1.274
-2.648 5.834 1.226
-2.648 6.365 1.190
-2.648 6.895 1.161
-2.648 7.425 1.142
-2.648 7.956 1.130
-2.648 8.486 1.123
-2.648 9.016 1.120
-2.648 9.547 1.121
-2.648 10.077 1.126
-2.648 10.608 1.137
-2.648 11.138 1.151
-2.648 11.668 1.168
-2.648 12.199 1.188
-2.648 12.729 1.211
-2.648 13.259 1.238
-2.648 13.790 1.271
-2.648 14.320 1.309
-2.648 14.851 1.353
-2.648 15.381 1.402
-2.648 15.911 1.465
-2.648 16.442 1.575
-1.921 0.000 -13.869
-1.921 0.530 -8.909
-1.921 1.061 -4.145
-1.921 1.591 -0.227
-1.921 2.122 1.746
-1.921 2.652 1.876
-1.921 3.182 1.600
-1.921 3.713 1.436
-1.921 4.243 1.316
-1.921 4.773 1.229
