in_n1 in_n2 out1
1.000 1.000 -0.186
1.000 1.938 -0.131
1.000 2.875 -0.079
1.000 3.812 -0.030
1.000 4.750 0.013
1.000 5.688 0.049
1.000 6.625 0.077
1.000 7.562 0.098
1.000 8.500 0.112
1.000 9.438 0.118
1.000 10.375 0.116
1.000 11.312 0.108
1.000 12.250 0.093
1.000 13.188 0.071
1.000 14.125 0.044
1.000 15.062 0.011
1.000 16.000 -0.031
1.000 16.938 -0.023
1.000 17.875 -0.013
1.000 18.812 -0.006
1.000 19.750 -0.002
1.000 20.688 0.001
1.000 21.625 0.002
1.000 22.562 0.002
1.000 23.500 0.001
1.000 24.438 0.000
1.000 25.375 -0.001
1.000 26.312 -0.002
1.000 27.250 -0.003
1.000 28.188 -0.002
1.000 29.125 -0.001
1.000 30.062 0.001
1.938 1.000 -0.188
1.938 1.938 -0.131
1.938 2.875 -0.076
1.938 3.812 -0.024
1.938 4.750 0.022
1.938 5.688 0.060
1.938 6.625 0.092
1.938 7.562 0.115
1.938 8.500 0.131
1.938 9.438 0.138
1.938 10.375 0.138
1.938 11.312 0.130
1.938 12.250 0.115
1.938 13.188 0.094
1.938 14.125 0.066
1.938 15.062 0.032
1.938 16.000 -0.010
1.938 16.938 -0.005
1.938 17.875 0.003
1.938 18.812 0.008
1.938 19.750 0.011
1.938 20.688 0.011
1.938 21.625 0.011
1.938 22.562 0.009
1.938 23.500 0.007
1.938 24.438 0.004
1.938 25.375 0.002
1.938 26.312 -0.001
1.938 27.250 -0.002
1.938 28.188 -0.003
1.938 29.125 -0.003
1.938 30.062 -0.002
2.875 1.000 -0.185
2.875 1.938 -0.125
2.875 2.875 -0.066
2.875 3.812 -0.011
2.875 4.750 0.038
2.875 5.688 0.080
2.875 6.625 0.113
2.875 7.562 0.139
2.875 8.500 0.156
2.875 9.438 0.163
2.875 10.375 0.163
2.875 11.312 0.154
2.875 12.250 0.138
2.875 13.188 0.114
2.875 14.125 0.084
2.875 15.062 0.046
2.875 16.000 -0.001
2.875 16.938 0.003
2.875 17.875 0.009
2.875 18.812 0.013
2.875 19.750 0.015
2.875 20.688 0.014
2.875 21.625 0.013
2.875 22.562 0.011
2.875 23.500 0.008
2.875 24.438 0.005
2.875 25.375 0.002
2.875 26.312 -0.000
2.875 27.250 -0.002
2.875 28.188 -0.003
2.875 29.125 -0.004
2.875 30.062 -0.003
3.812 1.000 -0.178
3.812 1.938 -0.115
3.812 2.875 -0.052
3.812 3.812 0.007
3.812 4.750 0.060
3.812 5.688 0.105
3.812 6.625 0.141
3.812 7.562 0.168
3.812 8.500 0.186
3.812 9.438 0.193
3.812 10.375 0.192
3.812 11.312 0.181
3.812 12.250 0.162
3.812 13.188 0.134
3.812 14.125 0.099
3.812 15.062 0.055
3.812 16.000 0.001
3.812 16.938 0.003
3.812 17.875 0.009
3.812 18.812 0.012
3.812 19.750 0.013
3.812 20.688 0.013
3.812 21.625 0.011
3.812 22.562 0.009
3.812 23.500 0.007
3.812 24.438 0.004
3.812 25.375 0.001
3.812 26.312 -0.001
3.812 27.250 -0.002
3.812 28.188 -0.003
3.812 29.125 -0.003
3.812 30.062 -0.003
4.750 1.000 -0.168
4.750 1.938 -0.100
4.750 2.875 -0.033
4.750 3.812 0.031
4.750 4.750 0.087
4.750 5.688 0.136
4.750 6.625 0.174
4.750 7.562 0.203
4.750 8.500 0.221
