in1 in2 in3 in4 out
-1.500 -1.500 -0.200 -0.400 -0.636
-1.500 -1.500 -0.200 -0.240 -1.285
-1.500 -1.500 -0.200 -0.080 -1.965
-1.500 -1.500 -0.200 0.080 -2.802
-1.500 -1.500 -0.200 0.240 -3.769
-1.500 -1.500 -0.120 -0.400 -1.642
-1.500 -1.500 -0.120 -0.240 -2.260
-1.500 -1.500 -0.120 -0.080 -2.888
-1.500 -1.500 -0.120 0.080 -3.648
-1.500 -1.500 -0.120 0.240 -4.571
-1.500 -1.500 -0.040 -0.400 -2.690
-1.500 -1.500 -0.040 -0.240 -3.245
-1.500 -1.500 -0.040 -0.080 -3.807
-1.500 -1.500 -0.040 0.080 -4.508
-1.500 -1.500 -0.040 0.240 -5.385
-1.500 -1.500 0.040 -0.400 -3.806
-1.500 -1.500 0.040 -0.240 -4.251
-1.500 -1.500 0.040 -0.080 -4.726
-1.500 -1.500 0.040 0.080 -5.388
-1.500 -1.500 0.040 0.240 -6.219
-1.500 -1.500 0.120 -0.400 -4.876
-1.500 -1.500 0.120 -0.240 -5.256
-1.500 -1.500 0.120 -0.080 -5.660
-1.500 -1.500 0.120 0.080 -6.253
-1.500 -1.500 0.120 0.240 -7.034
-1.500 -0.900 -0.200 -0.400 0.705
-1.500 -0.900 -0.200 -0.240 0.029
-1.500 -0.900 -0.200 -0.080 -0.688
-1.500 -0.900 -0.200 0.080 -1.572
-1.500 -0.900 -0.200 0.240 -2.561
-1.500 -0.900 -0.120 -0.400 -0.302
-1.500 -0.900 -0.120 -0.240 -0.947
-1.500 -0.900 -0.120 -0.080 -1.612
-1.500 -0.900 -0.120 0.080 -2.419
-1.500 -0.900 -0.120 0.240 -3.363
-1.500 -0.900 -0.040 -0.400 -1.352
-1.500 -0.900 -0.040 -0.240 -1.933
-1.500 -0.900 -0.040 -0.080 -2.532
-1.500 -0.900 -0.040 0.080 -3.279
-1.500 -0.900 -0.040 0.240 -4.178
-1.500 -0.900 0.040 -0.400 -2.468
-1.500 -0.900 0.040 -0.240 -2.939
-1.500 -0.900 0.040 -0.080 -3.451
-1.500 -0.900 0.040 0.080 -4.159
-1.500 -0.900 0.040 0.240 -5.011
-1.500 -0.900 0.120 -0.400 -3.537
-1.500 -0.900 0.120 -0.240 -3.943
-1.500 -0.900 0.120 -0.080 -4.385
-1.500 -0.900 0.120 0.080 -5.024
-1.500 -0.900 0.120 0.240 -5.827
-1.500 -0.300 -0.200 -0.400 2.080
-1.500 -0.300 -0.200 -0.240 1.342
-1.500 -0.300 -0.200 -0.080 0.566
-1.500 -0.300 -0.200 0.080 -0.351
-1.500 -0.300 -0.200 0.240 -1.350
-1.500 -0.300 -0.120 -0.400 1.070
-1.500 -0.300 -0.120 -0.240 0.363
-1.500 -0.300 -0.120 -0.080 -0.360
-1.500 -0.300 -0.120 0.080 -1.200
-1.500 -0.300 -0.120 0.240 -2.153
-1.500 -0.300 -0.040 -0.400 0.018
-1.500 -0.300 -0.040 -0.240 -0.625
-1.500 -0.300 -0.040 -0.080 -1.282
-1.500 -0.300 -0.040 0.080 -2.062
-1.500 -0.300 -0.040 0.240 -2.970
-1.500 -0.300 0.040 -0.400 -1.098
-1.500 -0.300 0.040 -0.240 -1.631
-1.500 -0.300 0.040 -0.080 -2.202
-1.500 -0.300 0.040 0.080 -2.942
-1.500 -0.300 0.040 0.240 -3.803
-1.500 -0.300 0.120 -0.400 -2.165
-1.500 -0.300 0.120 -0.240 -2.633
-1.500 -0.300 0.120 -0.080 -3.133
-1.500 -0.300 0.120 0.080 -3.805
-1.500 -0.300 0.120 0.240 -4.617
-1.500 0.300 -0.200 -0.400 3.501
-1.500 0.300 -0.200 -0.240 2.653
-1.500 0.300 -0.200 -0.080 1.791
-1.500 0.300 -0.200 0.080 0.857
-1.500 0.300 -0.200 0.240 -0.135
-1.500 0.300 -0.120 -0.400 2.486
-1.500 0.300 -0.120 -0.240 1.669
-1.500 0.300 -0.120 -0.080 0.860
-1.500 0.300 -0.120 0.080 0.004
