in1 in2 in3 in4 in5 out
-0.300 -1.000 -3.000 -3.000 0.500 -36.566
-0.300 -1.000 -3.000 -3.000 0.750 -40.103
-0.300 -1.000 -3.000 -3.000 1.000 -43.916
-0.300 -1.000 -3.000 -3.000 1.250 -47.447
-0.300 -1.000 -3.000 -1.500 0.500 -30.898
-0.300 -1.000 -3.000 -1.500 0.750 -34.083
-0.300 -1.000 -3.000 -1.500 1.000 -37.520
-0.300 -1.000 -3.000 -1.500 1.250 -40.747
-0.300 -1.000 -3.000 0.000 0.500 -25.230
-0.300 -1.000 -3.000 0.000 0.750 -28.062
-0.300 -1.000 -3.000 0.000 1.000 -31.123
-0.300 -1.000 -3.000 0.000 1.250 -34.046
-0.300 -1.000 -3.000 1.500 0.500 -19.562
-0.300 -1.000 -3.000 1.500 0.750 -22.042
-0.300 -1.000 -3.000 1.500 1.000 -24.727
-0.300 -1.000 -3.000 1.500 1.250 -27.346
-0.300 -1.000 -1.500 -3.000 0.500 -31.823
-0.300 -1.000 -1.500 -3.000 0.750 -35.360
-0.300 -1.000 -1.500 -3.000 1.000 -39.173
-0.300 -1.000 -1.500 -3.000 1.250 -42.704
-0.300 -1.000 -1.500 -1.500 0.500 -26.155
-0.300 -1.000 -1.500 -1.500 0.750 -29.340
-0.300 -1.000 -1.500 -1.500 1.000 -32.777
-0.300 -1.000 -1.500 -1.500 1.250 -36.004
-0.300 -1.000 -1.500 0.000 0.500 -20.487
-0.300 -1.000 -1.500 0.000 0.750 -23.319
-0.300 -1.000 -1.500 0.000 1.000 -26.380
-0.300 -1.000 -1.500 0.000 1.250 -29.303
-0.300 -1.000 -1.500 1.500 0.500 -14.819
-0.300 -1.000 -1.500 1.500 0.750 -17.299
-0.300 -1.000 -1.500 1.500 1.000 -19.984
-0.300 -1.000 -1.500 1.500 1.250 -22.603
-0.300 -1.000 0.000 -3.000 0.500 -27.080
-0.300 -1.000 0.000 -3.000 0.750 -30.617
-0.300 -1.000 0.000 -3.000 1.000 -34.430
-0.300 -1.000 0.000 -3.000 1.250 -37.961
-0.300 -1.000 0.000 -1.500 0.500 -21.412
-0.300 -1.000 0.000 -1.500 0.750 -24.597
-0.300 -1.000 0.000 -1.500 1.000 -28.034
-0.300 -1.000 0.000 -1.500 1.250 -31.261
-0.300 -1.000 0.000 0.000 0.500 -15.744
-0.300 -1.000 0.000 0.000 0.750 -18.576
-0.300 -1.000 0.000 0.000 1.000 -21.637
-0.300 -1.000 0.000 0.000 1.250 -24.560
-0.300 -1.000 0.000 1.500 0.500 -10.076
-0.300 -1.000 0.000 1.500 0.750 -12.556
-0.300 -1.000 0.000 1.500 1.000 -15.241
-0.300 -1.000 0.000 1.500 1.250 -17.860
-0.300 -1.000 1.500 -3.000 0.500 -22.337
-0.300 -1.000 1.500 -3.000 0.750 -25.874
-0.300 -1.000 1.500 -3.000 1.000 -29.687
-0.300 -1.000 1.500 -3.000 1.250 -33.218
-0.300 -1.000 1.500 -1.500 0.500 -16.669
-0.300 -1.000 1.500 -1.500 0.750 -19.854
-0.300 -1.000 1.500 -1.500 1.000 -23.291
-0.300 -1.000 1.500 -1.500 1.250 -26.518
-0.300 -1.000 1.500 0.000 0.500 -11.001
-0.300 -1.000 1.500 0.000 0.750 -13.833
-0.300 -1.000 1.500 0.000 1.000 -16.894
-0.300 -1.000 1.500 0.000 1.250 -19.817
-0.300 -1.000 1.500 1.500 0.500 -5.333
-0.300 -1.000 1.500 1.500 0.750 -7.813
-0.300 -1.000 1.500 1.500 1.000 -10.498
-0.300 -1.000 1.500 1.500 1.250 -13.117
-0.300 -0.500 -3.000 -3.000 0.500 -33.562
-0.300 -0.500 -3.000 -3.000 0.750 -36.155
-0.300 -0.500 -3.000 -3.000 1.000 -38.944
-0.300 -0.500 -3.000 -3.000 1.250 -41.467
-0.300 -0.500 -3.000 -1.500 0.500 -27.894
-0.300 -0.500 -3.000 -1.500 0.750 -30.134
-0.300 -0.500 -3.000 -1.500 1.000 -32.548
-0.300 -0.500 -3.000 -1.500 1.250 -34.767
-0.300 -0.500 -3.000 0.000 0.500 -22.226
-0.300 -0.500 -3.000 0.000 0.750 -24.114
-0.300 -0.500 -3.000 0.000 1.000 -26.151
-0.300 -0.500 -3.000 0.000 1.250 -28.066
-0.300 -0.500 -3.000 1.500 0.500 -16.558
-0.300 -0.500 -3.000 1.500 0.750 -18.093
-0.300 -0.500 -3.000 1.500 1.000 -19.755
-0.300 -0.500 -3.000 1.500 1.250 -21.366
-0.300 -0.500 -1.500 -3.000 0.500 -28.819
-0.300 -0.500 -1.500 -3.000 0.750 -31.412
-0.300 -0.500 -1.500 -3.000 1.000 -34.201
-0.300 -0.500 -1.500 -3.000 1.250 -36.724
-0.300 -0.500 -1.500 -1.500 0.500 -23.151
-0.300 -0.500 -1.500 -1.500 0.750 -25.391
-0.300 -0.500 -1.500 -1.500 1.000 -27.805
-0.300 -0.500 -1.500 -1.500 1.250 -30.024
