service food tip
0.000 0.000 5.039
0.000 0.312 5.039
0.000 0.625 5.039
0.000 0.938 5.039
0.000 1.250 5.039
0.000 1.562 5.039
0.000 1.875 5.039
0.000 2.188 5.039
0.000 2.500 5.039
0.000 2.812 5.039
0.000 3.125 5.039
0.000 3.438 5.039
0.000 3.750 5.039
0.000 4.062 5.039
0.000 4.375 5.039
0.000 4.688 5.039
0.000 5.000 5.039
0.000 5.312 5.039
0.000 5.625 5.039
0.000 5.938 5.039
0.000 6.250 5.039
0.000 6.562 5.039
0.000 6.875 5.039
0.000 7.188 6.743
0.000 7.500 9.018
0.000 7.812 10.789
0.000 8.125 12.207
0.000 8.438 13.367
0.000 8.750 14.335
0.000 9.062 15.000
0.000 9.375 15.000
0.000 9.688 15.000
0.312 0.000 5.075
0.312 0.312 5.075
0.312 0.625 5.075
0.312 0.938 5.075
0.312 1.250 5.077
0.312 1.562 5.077
0.312 1.875 5.077
0.312 2.188 5.077
0.312 2.500 5.077
0.312 2.812 5.077
0.312 3.125 5.077
0.312 3.438 5.077
0.312 3.750 5.077
0.312 4.062 5.077
0.312 4.375 5.077
0.312 4.688 5.077
0.312 5.000 5.077
0.312 5.312 5.077
0.312 5.625 5.077
0.312 5.938 5.077
0.312 6.250 5.077
0.312 6.562 5.077
0.312 6.875 5.077
0.312 7.188 6.806
0.312 7.500 9.106
0.312 7.812 10.890
0.312 8.125 12.314
0.312 8.438 13.476
0.312 8.750 14.444
0.312 9.062 15.108
0.312 9.375 15.108
0.312 9.688 15.108
0.625 0.000 5.140
0.625 0.312 5.140
0.625 0.625 5.140
0.625 0.938 5.140
0.625 1.250 5.153
0.625 1.562 5.153
0.625 1.875 5.153
0.625 2.188 5.153
0.625 2.500 5.153
0.625 2.812 5.153
0.625 3.125 5.153
0.625 3.438 5.153
0.625 3.750 5.153
0.625 4.062 5.153
0.625 4.375 5.153
0.625 4.688 5.153
0.625 5.000 5.153
0.625 5.312 5.153
0.625 5.625 5.153
0.625 5.938 5.153
0.625 6.250 5.153
0.625 6.562 5.153
0.625 6.875 5.153
0.625 7.188 6.968
0.625 7.500 9.354
0.625 7.812 11.182
0.625 8.125 12.627
0.625 8.438 13.799
0.625 8.750 14.768
0.625 9.062 15.431
0.625 9.375 15.431
0.625 9.688 15.431
0.938 0.000 5.249
0.938 0.312 5.249
0.938 0.625 5.249
0.938 0.938 5.249
0.938 1.250 5.284
0.938 1.562 5.301
0.938 1.875 5.301
0.938 2.188 5.301
0.938 2.500 5.301
0.938 2.812 5.301
0.938 3.125 5.301
0.938 3.438 5.301
0.938 3.750 5.301
0.938 4.062 5.301
0.938 4.375 5.301
0.938 4.688 5.301
0.938 5.000 5.301
0.938 5.312 5.301
0.938 5.625 5.301
0.938 5.938 5.301
0.938 6.250 5.301
0.938 6.562 5.301
0.938 6.875 5.301
0.938 7.188 7.262
0.938 7.500 9.786
0.938 7.812 11.681
0.938 8.125 13.156
0.938 8.438 14.337
0.938 8.750 15.304
0.938 9.062 15.960
0.938 9.375 15.960
0.938 9.688 15.960
1.250 0.000 5.421
1.250 0.312 5.421
1.250 0.625 5.421
1.250 0.938 5.421
1.250 1.250 5.478
1.250 1.562 5.576
1.250 1.875 5.585
1.250 2.188 5.585
1.250 2.500 5.585
1.250 2.812 5.585
1.250 3.125 5.585
1.250 3.438 5.585
1.250 3.750 5.585
1.250 4.062 5.585
1.250 4.375 5.585
1.250 4.688 5.585
1.250 5.000 5.585
1.250 5.312 5.585
1.250 5.625 5.585
1.250 5.938 5.585
1.250 6.250 5.585
1.250 6.562 5.585
1.250 6.875 5.585
1.250 7.188 7.741
1.250 7.500 10.436
1.250 7.812 12.403
1.250 8.125 13.902
1.250 8.438 15.082
1.250 8.750 16.036
1.250 9.062 16.676
1.250 9.375 16.676
1.250 9.688 16.676
1.562 0.000 5.675
1.562 0.312 5.675
1.562 0.625 5.675
1.562 0.938 5.675
1.562 1.250 5.764
1.562 1.562 5.915
1.562 1.875 6.107
1.562 2.188 6.107
1.562 2.500 6.107
1.562 2.812 6.107
1.562 3.125 6.107
1.562 3.438 6.107
1.562 3.750 6.107
1.562 4.062 6.107
1.562 4.375 6.107
1.562 4.688 6.107
1.562 5.000 6.107
1.562 5.312 6.107
1.562 5.625 6.107
1.562 5.938 6.107
1.562 6.250 6.107
1.562 6.562 6.107
1.562 6.875 6.107
1.562 7.188 8.477
1.562 7.500 11.334
1.562 7.812 13.349
1.562 8.125 14.846
1.562 8.438 16.002
1.562 8.750 16.921
1.562 9.062 17.532
1.562 9.375 17.532
1.562 9.688 17.532
1.875 0.000 6.025
1.875 0.312 6.025
1.875 0.625 6.025
1.875 0.938 6.025
1.875 1.250 6.154
1.875 1.562 6.371
1.875 1.875 6.687
1.875 2.188 6.996
1.875 2.500 6.996
1.875 2.812 6.996
1.875 3.125 6.996
1.875 3.438 6.996
1.875 3.750 6.996
1.875 4.062 6.996
1.875 4.375 6.996
1.875 4.688 6.996
1.875 5.000 6.996
1.875 5.312 6.996
1.875 5.625 6.996
1.875 5.938 6.996
1.875 6.250 6.996
1.875 6.562 6.996
1.875 6.875 6.996
1.875 7.188 9.531
1.875 7.500 12.472
1.875 7.812 14.473
1.875 8.125 15.923
1.875 8.438 17.021
1.875 8.750 17.883
1.875 9.062 18.449
1.875 9.375 18.449
1.875 9.688 18.449
2.188 0.000 6.471
2.188 0.312 6.471
2.188 0.625 6.471
2.188 0.938 6.471
2.188 1.250 6.646
2.188 1.562 6.935
2.188 1.875 7.346
2.188 2.188 7.980
2.188 2.500 8.330
2.188 2.812 8.330
2.188 3.125 8.330
2.188 3.438 8.330
2.188 3.750 8.330
2.188 4.062 8.330
2.188 4.375 8.330
2.188 4.688 8.330
2.188 5.000 8.330
2.188 5.312 8.330
2.188 5.625 8.330
2.188 5.938 8.330
2.188 6.250 8.330
2.188 6.562 8.330
2.188 6.875 8.330
2.188 7.188 10.886
2.188 7.500 13.759
2.188 7.812 15.660
2.188 8.125 17.011
2.188 8.438 18.020
2.188 8.750 18.803
2.188 9.062 19.314
2.188 9.375 19.314
2.188 9.688 19.314
2.500 0.000 6.996
2.500 0.312 6.996
2.500 0.625 6.996
2.500 0.938 6.996
2.500 1.250 7.218
2.500 1.562 7.576
2.500 1.875 8.071
2.500 2.188 8.803
2.500 2.500 9.994
2.500 2.812 10.000
2.500 3.125 10.000
2.500 3.438 10.000
2.500 3.750 10.000
2.500 4.062 10.000
2.500 4.375 10.000
2.500 4.688 10.000
2.500 5.000 10.000
2.500 5.312 10.000
2.500 5.625 10.000
2.500 5.938 10.000
2.500 6.250 10.000
2.500 6.562 10.000
2.500 6.875 10.000
2.500 7.188 12.374
2.500 7.500 15.009
2.500 7.812 16.734
2.500 8.125 17.951
2.500 8.438 18.856
2.500 8.750 19.554
2.500 9.062 20.009
2.500 9.375 20.009
2.500 9.688 20.009
2.812 0.000 7.567
2.812 0.312 7.567
2.812 0.625 7.567
2.812 0.938 7.567
2.812 1.250 7.830
2.812 1.562 8.245
2.812 1.875 8.804
2.812 2.188 9.595
2.812 2.500 10.801
2.812 2.812 11.670
2.812 3.125 11.670
2.812 3.438 11.670
2.812 3.750 11.670
2.812 4.062 11.670
2.812 4.375 11.670
2.812 4.688 11.670
2.812 5.000 11.670
2.812 5.312 11.670
2.812 5.625 11.670
2.812 5.938 11.670
2.812 6.250 11.670
2.812 6.562 11.670
2.812 6.875 11.670
2.812 7.188 13.713
2.812 7.500 16.011
2.812 7.812 17.531
2.812 8.125 18.611
2.812 8.438 19.418
2.812 8.750 20.045
2.812 9.062 20.453
2.812 9.375 20.453
2.812 9.688 20.453
3.125 0.000 8.141
3.125 0.312 8.141
3.125 0.625 8.141
3.125 0.938 8.141
3.125 1.250 8.435
3.125 1.562 8.892
3.125 1.875 9.488
3.125 2.188 10.299
3.125 2.500 11.469
3.125 2.812 13.005
3.125 3.125 13.005
3.125 3.438 13.005
3.125 3.750 13.005
3.125 4.062 13.005
3.125 4.375 13.005
3.125 4.688 13.005
3.125 5.000 13.005
3.125 5.312 13.005
3.125 5.625 13.005
3.125 5.938 13.005
3.125 6.250 13.005
3.125 6.562 13.005
3.125 6.875 13.005
3.125 7.188 14.693
3.125 7.500 16.653
3.125 7.812 17.986
3.125 8.125 18.952
3.125 8.438 19.684
3.125 8.750 20.258
3.125 9.062 20.635
3.125 9.375 20.635
3.125 9.688 20.635
3.438 0.000 8.677
3.438 0.312 8.677
3.438 0.625 8.677
3.438 0.938 8.677
3.438 1.250 8.992
3.438 1.562 9.472
3.438 1.875 10.083
3.438 2.188 10.887
3.438 2.500 11.994
3.438 2.812 13.612
3.438 3.125 13.894
3.438 3.438 13.894
3.438 3.750 13.894
3.438 4.062 13.894
3.438 4.375 13.894
3.438 4.688 13.894
3.438 5.000 13.894
3.438 5.312 13.894
3.438 5.625 13.894
3.438 5.938 13.894
3.438 6.250 13.894
3.438 6.562 13.894
3.438 6.875 13.894
3.438 7.188 15.286
3.438 7.500 16.966
3.438 7.812 18.150
3.438 8.125 19.030
3.438 8.438 19.710
3.438 8.750 20.251
3.438 9.062 20.610
3.438 9.375 20.610
3.438 9.688 20.610
3.750 0.000 9.142
3.750 0.312 9.142
3.750 0.625 9.142
3.750 0.938 9.142
3.750 1.250 9.469
3.750 1.562 9.959
3.750 1.875 10.570
3.750 2.188 11.352
3.750 2.500 12.389
3.750 2.812 13.831
3.750 3.125 14.417
3.750 3.438 14.417
3.750 3.750 14.417
3.750 4.062 14.417
3.750 4.375 14.417
3.750 4.688 14.417
3.750 5.000 14.417
3.750 5.312 14.417
3.750 5.625 14.417
3.750 5.938 14.417
3.750 6.250 14.417
3.750 6.562 14.417
3.750 6.875 14.417
3.750 7.188 15.590
3.750 7.500 17.059
3.750 7.812 18.132
3.750 8.125 18.949
3.750 8.438 19.593
3.750 8.750 20.112
3.750 9.062 20.461
3.750 9.375 20.461
