LDLLevel HDLLevel HeartDiseaseRisk
0.000 0.000 5.000
0.000 3.125 5.000
0.000 6.250 5.000
0.000 9.375 5.000
0.000 12.500 5.000
0.000 15.625 5.000
0.000 18.750 5.000
0.000 21.875 5.000
0.000 25.000 5.000
0.000 28.125 5.000
0.000 31.250 5.000
0.000 34.375 5.000
0.000 37.500 4.375
0.000 40.625 3.594
0.000 43.750 2.812
0.000 46.875 2.500
0.000 50.000 2.500
0.000 53.125 2.500
0.000 56.250 2.188
0.000 59.375 1.406
0.000 62.500 0.625
0.000 65.625 0.000
0.000 68.750 0.000
0.000 71.875 0.000
0.000 75.000 0.000
0.000 78.125 0.000
0.000 81.250 0.000
0.000 84.375 0.000
0.000 87.500 0.000
0.000 90.625 0.000
0.000 93.750 0.000
0.000 96.875 0.000
9.375 0.000 5.000
9.375 3.125 5.000
9.375 6.250 5.000
9.375 9.375 5.000
9.375 12.500 5.000
9.375 15.625 5.000
9.375 18.750 5.000
9.375 21.875 5.000
9.375 25.000 5.000
9.375 28.125 5.000
9.375 31.250 5.000
9.375 34.375 5.000
9.375 37.500 4.375
9.375 40.625 3.594
9.375 43.750 2.812
9.375 46.875 2.500
9.375 50.000 2.500
9.375 53.125 2.500
9.375 56.250 2.188
9.375 59.375 1.406
9.375 62.500 0.625
9.375 65.625 0.000
9.375 68.750 0.000
9.375 71.875 0.000
9.375 75.000 0.000
9.375 78.125 0.000
9.375 81.250 0.000
9.375 84.375 0.000
9.375 87.500 0.000
9.375 90.625 0.000
9.375 93.750 0.000
9.375 96.875 0.000
18.750 0.000 5.000
18.750 3.125 5.000
18.750 6.250 5.000
18.750 9.375 5.000
18.750 12.500 5.000
18.750 15.625 5.000
18.750 18.750 5.000
18.750 21.875 5.000
18.750 25.000 5.000
18.750 28.125 5.000
18.750 31.250 5.000
18.750 34.375 5.000
18.750 37.500 4.375
18.750 40.625 3.594
18.750 43.750 2.812
18.750 46.875 2.500
18.750 50.000 2.500
18.750 53.125 2.500
18.750 56.250 2.188
18.750 59.375 1.406
18.750 62.500 0.625
18.750 65.625 0.000
18.750 68.750 0.000
18.750 71.875 0.000
18.750 75.000 0.000
18.750 78.125 0.000
18.750 81.250 0.000
18.750 84.375 0.000
18.750 87.500 0.000
18.750 90.625 0.000
18.750 93.750 0.000
18.750 96.875 0.000
28.125 0.000 5.000
28.125 3.125 5.000
28.125 6.250 5.000
28.125 9.375 5.000
28.125 12.500 5.000
28.125 15.625 5.000
28.125 18.750 5.000
28.125 21.875 5.000
28.125 25.000 5.000
28.125 28.125 5.000
28.125 31.250 5.000
28.125 34.375 5.000
28.125 37.500 4.375
28.125 40.625 3.594
28.125 43.750 2.812
28.125 46.875 2.500
28.125 50.000 2.500
28.125 53.125 2.500
28.125 56.250 2.188
28.125 59.375 1.406
28.125 62.500 0.625
28.125 65.625 0.000
28.125 68.750 0.000
28.125 71.875 0.000
28.125 75.000 0.000
28.125 78.125 0.000
28.125 81.250 0.000
28.125 84.375 0.000
