X A B C
-10.000 0.255 0.994 0.256
-9.980 0.255 0.994 0.256
-9.961 0.255 0.994 0.256
-9.941 0.256 0.994 0.256
-9.922 0.256 0.994 0.256
-9.902 0.256 0.994 0.256
-9.883 0.256 0.994 0.256
-9.863 0.256 0.994 0.256
-9.844 0.256 0.994 0.256
-9.824 0.256 0.994 0.256
-9.805 0.256 0.994 0.257
-9.785 0.256 0.994 0.257
-9.766 0.256 0.994 0.257
-9.746 0.256 0.993 0.257
-9.727 0.256 0.993 0.257
-9.707 0.256 0.993 0.257
-9.688 0.256 0.993 0.257
-9.668 0.256 0.993 0.257
-9.648 0.257 0.993 0.257
-9.629 0.257 0.993 0.257
-9.609 0.257 0.993 0.257
-9.590 0.257 0.993 0.258
-9.570 0.257 0.993 0.258
-9.551 0.257 0.993 0.258
-9.531 0.257 0.992 0.258
-9.512 0.257 0.992 0.258
-9.492 0.257 0.992 0.258
-9.473 0.257 0.992 0.258
-9.453 0.257 0.992 0.258
-9.434 0.257 0.992 0.258
-9.414 0.258 0.992 0.259
-9.395 0.258 0.992 0.259
-9.375 0.258 0.992 0.259
-9.355 0.258 0.992 0.259
-9.336 0.258 0.991 0.259
-9.316 0.258 0.991 0.259
-9.297 0.258 0.991 0.259
-9.277 0.258 0.991 0.260
-9.258 0.258 0.514 0.260
-9.238 0.258 0.509 0.260
-9.219 0.258 0.504 0.260
-9.199 0.259 0.499 0.260
-9.180 0.259 0.495 0.260
-9.160 0.259 0.490 0.261
-9.141 0.259 0.486 0.261
-9.121 0.259 0.481 0.261
-9.102 0.259 0.477 0.261
-9.082 0.259 0.473 0.261
-9.062 0.259 0.469 0.262
-9.043 0.259 0.465 0.262
-9.023 0.260 0.461 0.262
-9.004 0.260 0.457 0.262
-8.984 0.260 0.454 0.262
-8.965 0.260 0.450 0.263
-8.945 0.260 0.446 0.263
-8.926 0.260 0.443 0.263
-8.906 0.260 0.439 0.263
-8.887 0.260 0.436 0.264
-8.867 0.260 0.433 0.264
-8.848 0.261 0.429 0.264
-8.828 0.261 0.426 0.264
-8.809 0.261 0.423 0.265
-8.789 0.261 0.420 0.265
